,sex,college,age,vote
376,1,1,18-25,1
377,1,0,18-25,2
378,2,1,47-65,2
379,1,0,47-65,1
380,2,0,35-46,2
381,1,1,35-46,2
382,1,0,35-46,2
383,1,1,47-65,2
384,1,0,35-46,1
385,2,1,35-46,2
386,2,1,26-34,1
387,2,1,47-65,2
388,1,0,65-79,1
389,1,0,47-65,1
390,1,1,47-65,2
391,1,1,65-79,1
392,1,0,35-46,2
393,2,1,65-79,2
394,2,0,35-46,2
395,2,1,47-65,1
396,2,1,35-46,1
397,1,0,18-25,2
398,1,1,65-79,2
399,2,1,26-34,1
400,1,1,35-46,2
401,2,1,35-46,2
402,2,1,35-46,1
403,2,0,47-65,2
404,1,0,47-65,2
405,2,1,47-65,1
406,1,1,35-46,2
407,2,1,35-46,1
408,1,1,35-46,2
409,1,0,65-79,1
410,2,1,47-65,1
411,1,0,65-79,1
412,2,0,65-79,1
413,2,1,47-65,2
414,2,1,47-65,1
415,2,1,65-79,2
416,2,0,47-65,2
417,2,1,47-65,1
418,1,1,65-79,2
419,1,1,47-65,1
420,1,0,47-65,2
421,2,0,47-65,1
422,2,0,35-46,2
423,1,1,26-34,1
424,1,0,18-25,2
425,2,1,26-34,2
426,1,1,47-65,2
427,2,0,18-25,2
428,1,1,65-79,1
429,1,1,35-46,1
430,1,0,47-65,1
431,1,1,80+,1
432,1,0,65-79,1
433,2,0,80+,2
434,2,1,65-79,1
435,1,1,47-65,1
436,1,1,35-46,1
437,2,0,80+,1
438,1,1,47-65,2
439,2,1,47-65,2
440,2,1,18-25,1
441,1,1,47-65,2
442,1,1,65-79,1
443,2,0,35-46,2
444,2,0,65-79,1
445,2,1,65-79,2
446,1,0,35-46,2
447,1,0,18-25,1
448,2,1,47-65,1
449,1,0,47-65,1
450,2,1,65-79,1
451,1,1,47-65,1
452,1,1,65-79,1
453,2,0,65-79,1
454,2,1,35-46,2
455,1,0,18-25,2
456,1,1,65-79,1
457,2,1,47-65,1
458,1,1,47-65,1
459,1,1,65-79,2
460,2,1,65-79,2
461,1,1,65-79,2
462,2,0,35-46,1
463,2,0,65-79,2
464,1,1,65-79,2
465,2,1,47-65,1
466,1,0,35-46,2
467,1,0,35-46,2
468,2,0,47-65,1
469,2,0,35-46,2
470,1,0,35-46,1
471,2,0,47-65,1
472,2,1,47-65,1
473,2,1,47-65,1
474,1,0,47-65,2
475,1,1,18-25,1
476,2,1,35-46,1
477,1,1,35-46,1
478,2,0,65-79,1
479,1,1,65-79,2
480,1,0,65-79,1
481,1,0,26-34,2
482,1,1,35-46,1
483,2,1,65-79,2
484,2,1,65-79,1
485,1,0,47-65,1
486,2,0,65-79,2
487,1,0,47-65,1
488,2,1,47-65,2
489,2,0,35-46,2
490,1,1,26-34,2
491,2,0,80+,2
492,1,0,18-25,2
493,1,1,80+,2
494,2,1,47-65,2
495,2,1,35-46,2
496,2,0,35-46,2
497,1,1,80+,1
498,1,0,65-79,1
499,2,0,47-65,2
500,2,1,65-79,1
501,2,1,65-79,2
502,1,0,47-65,1
503,1,0,35-46,1
504,2,1,26-34,2
505,2,1,65-79,2
506,2,0,35-46,1
507,1,1,65-79,2
508,1,1,47-65,1
509,2,1,47-65,2
510,2,0,26-34,1
511,1,1,35-46,2
512,2,0,80+,2
513,2,1,80+,1
514,1,0,26-34,1
515,2,1,47-65,2
516,1,1,65-79,2
517,2,0,47-65,1
518,2,1,47-65,1
519,1,1,47-65,1
520,2,1,47-65,1
521,2,1,35-46,1
522,2,0,47-65,1
523,2,0,65-79,1
524,1,0,80+,2
525,1,0,26-34,1
526,1,1,26-34,1
527,1,1,47-65,2
528,2,1,47-65,1
529,1,1,35-46,2
530,1,0,80+,1
531,1,1,35-46,1
532,2,1,26-34,1
533,2,1,47-65,2
534,2,0,18-25,1
535,1,1,35-46,1
536,1,1,35-46,1
537,1,0,47-65,1
538,2,0,47-65,1
539,2,1,47-65,2
540,1,0,35-46,1
541,2,1,65-79,2
542,2,1,35-46,1
543,2,0,35-46,2
544,1,1,47-65,1
545,1,0,26-34,1
546,1,1,47-65,1
547,2,1,35-46,2
548,2,1,65-79,1
549,2,1,26-34,1
550,1,1,47-65,1
551,1,1,65-79,1
552,1,0,35-46,2
553,2,1,65-79,2
554,2,1,65-79,1
555,2,0,47-65,2
556,1,0,80+,2
557,2,1,35-46,2
558,2,0,35-46,2
559,2,0,65-79,2
560,1,0,47-65,2
561,1,1,65-79,1
562,2,1,65-79,1
563,2,0,26-34,1
564,2,0,35-46,2
565,1,1,35-46,1
566,2,1,18-25,1
567,1,1,35-46,2
568,2,0,47-65,2
569,1,0,65-79,2
570,1,1,65-79,1
571,1,1,47-65,2
572,1,1,26-34,1
573,1,0,26-34,1
574,1,1,65-79,2
575,2,1,47-65,1
576,1,1,35-46,2
577,1,1,47-65,1
578,2,1,26-34,2
579,2,1,35-46,1
580,1,0,47-65,1
581,1,0,47-65,1
582,1,1,47-65,1
583,1,1,47-65,2
584,1,1,80+,2
585,1,1,47-65,1
586,1,0,47-65,1
587,2,1,47-65,1
588,2,0,47-65,2
589,2,0,35-46,1
590,1,0,47-65,1
591,1,1,47-65,1
592,1,1,47-65,1
593,2,0,80+,1
594,2,1,35-46,1
595,1,1,47-65,1
596,2,0,65-79,2
597,2,1,47-65,1
598,2,0,65-79,1
599,1,0,65-79,1
600,1,0,26-34,2
601,2,1,35-46,2
602,1,1,65-79,1
603,1,1,35-46,1
604,1,0,65-79,1
605,2,1,26-34,1
606,1,1,47-65,2
607,1,0,47-65,1
608,2,0,47-65,1
609,1,0,26-34,1
610,1,1,26-34,2
611,2,1,35-46,1
612,1,0,47-65,2
613,2,0,35-46,1
614,1,1,18-25,1
615,1,0,47-65,2
616,2,1,47-65,1
617,2,1,65-79,1
618,2,0,65-79,2
619,1,1,47-65,1
620,1,1,26-34,1
621,2,1,47-65,1
622,2,1,26-34,2
623,1,0,80+,1
624,2,1,35-46,2
625,2,0,35-46,1
626,1,0,65-79,2
627,1,1,47-65,2
628,1,1,47-65,1
629,2,1,26-34,1
630,1,1,35-46,1
631,2,0,47-65,1
632,1,0,47-65,2
633,2,0,65-79,1
634,2,1,35-46,1
635,1,1,35-46,2
636,1,0,47-65,1
637,2,1,65-79,1
638,1,1,47-65,1
639,2,1,35-46,2
640,2,1,65-79,2
641,1,0,65-79,1
642,2,1,65-79,2
643,1,1,65-79,1
644,2,0,47-65,2
645,2,1,35-46,2
646,2,1,26-34,1
647,2,0,47-65,1
648,1,1,47-65,1
649,1,1,18-25,1
650,2,0,80+,2
651,2,1,26-34,1
652,1,1,65-79,2
653,2,0,18-25,2
654,1,1,47-65,1
655,2,1,65-79,1
656,2,0,26-34,2
657,1,0,26-34,1
658,1,1,80+,1
659,1,0,26-34,2
660,2,0,65-79,2
661,2,1,47-65,2
662,2,1,47-65,1
663,2,1,47-65,2
664,2,1,47-65,1
665,2,1,47-65,1
666,1,1,47-65,1
667,2,1,18-25,2
668,1,1,35-46,2
669,2,1,35-46,2
670,1,1,80+,2
671,1,0,65-79,2
672,1,1,47-65,1
673,2,1,18-25,1
674,2,1,47-65,2
675,2,1,35-46,1
676,2,1,18-25,1
677,2,1,47-65,1
678,1,0,35-46,2
679,2,0,80+,2
680,2,1,47-65,2
681,1,1,47-65,2
682,2,1,47-65,2
683,2,1,35-46,2
684,1,0,47-65,1
685,1,0,26-34,1
686,1,1,35-46,1
687,2,0,26-34,2
688,1,1,47-65,1
689,2,0,47-65,1
690,2,1,18-25,1
691,1,0,47-65,1
692,2,1,65-79,1
693,2,1,47-65,2
694,2,0,47-65,2
695,1,1,80+,1
696,1,0,18-25,2
697,2,0,47-65,2
698,2,1,26-34,2
699,2,1,47-65,1
700,2,0,47-65,2
701,2,1,65-79,1
702,1,1,47-65,2
703,2,1,47-65,1
704,2,1,65-79,1
705,1,0,65-79,2
706,1,1,35-46,2
707,1,0,35-46,2
708,2,1,65-79,1
709,2,1,35-46,1
710,1,0,18-25,1
711,2,0,65-79,1
712,2,0,65-79,2
713,2,0,47-65,2
714,1,1,18-25,1
715,1,1,65-79,1
716,2,1,65-79,1
717,1,1,65-79,1
718,2,0,65-79,2
719,1,1,65-79,2
720,2,0,65-79,1
721,2,1,35-46,2
722,2,0,65-79,2
723,2,0,35-46,1
724,2,1,47-65,1
725,2,1,47-65,1
726,1,1,35-46,2
727,2,1,47-65,1
728,2,1,65-79,2
729,1,0,80+,1
730,1,0,47-65,2
731,2,1,26-34,1
732,1,0,47-65,1
733,2,0,47-65,2
734,2,1,80+,1
735,2,1,26-34,1
736,2,1,80+,1
737,2,0,80+,1
738,1,1,47-65,2
739,1,0,47-65,2
740,1,0,47-65,2
741,2,0,47-65,2
742,1,1,80+,2
743,2,0,80+,2
744,2,1,35-46,1
745,2,1,35-46,2
746,2,0,65-79,1
747,1,1,35-46,1
748,1,1,47-65,1
749,2,1,35-46,2
750,2,0,65-79,1
751,2,1,65-79,2
752,1,1,47-65,2
753,2,1,35-46,2
754,2,0,26-34,2
755,2,0,65-79,2
756,2,1,35-46,1
757,2,0,65-79,1
758,1,0,47-65,2
759,2,1,26-34,1
760,1,0,18-25,2
761,2,1,47-65,1
762,1,0,47-65,1
763,2,1,47-65,1
764,2,0,47-65,1
765,2,1,47-65,2
766,2,1,47-65,1
767,2,0,47-65,2
768,2,0,47-65,2
769,2,0,47-65,1
770,2,1,47-65,2
771,2,1,35-46,1
772,2,1,47-65,1
773,2,0,65-79,2
774,2,1,26-34,1
775,1,1,47-65,1
776,2,1,26-34,1
777,2,1,47-65,2
778,2,1,65-79,1
779,1,1,26-34,1
780,2,1,35-46,1
781,1,0,80+,2
782,1,0,65-79,2
783,2,1,47-65,2
784,2,0,47-65,1
785,1,1,80+,2
786,2,1,47-65,1
787,2,1,18-25,1
788,1,0,18-25,1
789,1,0,47-65,1
790,1,0,18-25,2
791,2,0,18-25,2
792,1,0,65-79,1
793,2,1,35-46,2
794,2,1,47-65,1
795,2,1,47-65,2
796,2,1,47-65,2
797,1,1,65-79,1
798,1,1,47-65,1
799,2,1,65-79,2
800,1,1,35-46,2
801,1,1,26-34,1
802,2,1,47-65,1
803,2,0,26-34,1
804,2,1,47-65,1
805,1,1,26-34,1
806,2,1,47-65,2
807,2,0,35-46,2
808,2,0,18-25,1
809,2,0,80+,1
810,1,0,80+,1
811,2,0,35-46,2
812,2,1,47-65,1
813,1,0,18-25,2
814,2,1,65-79,1
815,2,1,47-65,2
816,2,0,65-79,2
817,2,1,47-65,2
818,2,0,26-34,2
819,2,1,65-79,1
820,2,0,35-46,2
821,1,1,47-65,1
822,2,1,35-46,1
823,1,0,18-25,1
824,2,1,35-46,1
825,1,1,47-65,2
826,1,0,35-46,2
827,2,1,65-79,1
828,2,0,35-46,2
829,2,1,47-65,1
830,1,0,35-46,1
831,2,0,47-65,1
832,1,1,35-46,1
833,1,0,35-46,2
834,2,1,65-79,1
835,1,1,65-79,1
836,2,0,26-34,1
837,1,1,65-79,2
838,1,1,26-34,1
839,1,1,47-65,1
840,2,1,65-79,1
841,1,1,80+,2
842,1,1,65-79,2
843,2,1,47-65,2
844,2,1,26-34,1
845,2,0,65-79,2
846,2,1,47-65,1
847,1,1,65-79,1
848,2,0,65-79,2
849,1,1,65-79,2
850,2,0,18-25,1
851,1,1,35-46,1
852,1,1,47-65,2
853,1,0,65-79,1
854,1,1,47-65,1
855,1,1,26-34,1
856,1,1,47-65,2
857,1,1,47-65,1
858,1,0,47-65,1
859,2,0,47-65,1
860,1,0,47-65,1
861,2,0,47-65,2
862,2,0,65-79,2
863,2,0,47-65,1
864,1,1,18-25,2
865,2,1,47-65,1
866,1,1,47-65,1
867,1,1,65-79,2
868,2,1,18-25,1
869,1,0,18-25,2
870,1,0,26-34,1
871,1,0,35-46,2
872,1,1,26-34,1
873,1,0,18-25,1
874,1,1,47-65,1
875,2,1,18-25,1
876,1,0,18-25,1
877,1,1,80+,2
878,1,1,47-65,1
879,2,0,47-65,1
880,1,1,18-25,1
881,2,1,35-46,2
882,2,0,80+,2
883,1,1,47-65,1
884,2,0,65-79,2
885,2,1,35-46,1
886,1,1,35-46,2
887,2,0,47-65,1
888,2,0,80+,1
889,1,1,47-65,2
890,2,1,47-65,2
891,2,1,47-65,2
892,2,0,65-79,2
893,1,1,47-65,2
894,1,0,65-79,2
895,1,1,65-79,2
896,1,1,47-65,1
897,1,1,35-46,1
898,1,1,65-79,2
899,1,1,65-79,1
900,1,1,65-79,2
901,1,0,26-34,1
902,2,1,65-79,1
903,2,1,65-79,1
904,1,1,47-65,2
905,2,1,35-46,1
906,2,0,18-25,2
907,2,1,35-46,2
908,1,1,35-46,1
909,2,0,35-46,1
910,1,1,47-65,2
911,2,0,47-65,1
912,2,0,65-79,2
913,2,1,26-34,1
914,1,0,26-34,1
915,2,0,80+,2
916,2,1,65-79,2
917,2,0,18-25,1
918,2,0,47-65,1
919,2,0,35-46,1
920,2,0,18-25,1
921,2,1,65-79,2
922,2,0,26-34,1
923,2,1,65-79,1
924,1,1,35-46,2
925,1,1,65-79,1
926,2,0,80+,1
927,1,0,26-34,2
928,1,1,65-79,2
929,1,0,65-79,1
930,2,1,47-65,2
931,2,1,35-46,1
932,2,0,80+,2
933,2,1,26-34,1
934,2,1,47-65,1
935,2,1,26-34,2
936,1,1,47-65,2
937,2,1,47-65,2
938,2,1,35-46,1
939,1,0,65-79,1
940,2,1,47-65,2
941,1,1,47-65,1
942,2,1,47-65,2
943,2,1,47-65,1
944,2,1,47-65,1
945,2,1,47-65,1
946,2,1,35-46,1
947,2,0,47-65,1
948,1,0,18-25,2
949,1,1,26-34,2
950,2,0,18-25,1
951,1,1,35-46,1
952,2,1,26-34,2
953,2,0,47-65,1
954,2,1,65-79,1
955,2,1,35-46,1
956,2,1,35-46,2
957,2,0,18-25,1
958,2,0,47-65,1
959,2,0,26-34,2
960,1,1,35-46,1
961,2,1,35-46,2
962,1,0,35-46,1
963,1,1,47-65,1
964,1,0,65-79,2
965,2,1,35-46,1
966,2,0,80+,1
967,2,1,65-79,2
968,1,1,26-34,2
969,2,1,35-46,1
970,1,0,18-25,1
971,2,1,47-65,1
972,1,0,18-25,1
973,2,1,35-46,1
974,1,0,65-79,1
975,2,0,65-79,2
976,2,0,80+,1
977,1,1,65-79,2
978,1,1,35-46,1
979,1,1,26-34,2
980,2,0,65-79,2
981,1,1,47-65,2
982,2,1,35-46,1
983,2,1,35-46,2
984,2,1,65-79,2
985,1,1,26-34,1
986,1,0,26-34,1
987,2,0,35-46,1
988,1,0,65-79,2
989,2,1,26-34,1
990,2,1,65-79,2
991,1,1,35-46,1
992,1,0,47-65,2
993,1,1,65-79,2
994,2,0,65-79,2
995,2,0,47-65,2
996,2,1,26-34,1
997,1,1,35-46,1
998,1,0,65-79,1
999,2,0,65-79,2
1000,1,0,65-79,1
1001,1,1,26-34,1
1002,2,0,26-34,1
1003,1,0,47-65,2
1004,2,1,47-65,2
1005,2,0,65-79,2
1006,1,0,65-79,1
1007,1,1,65-79,2
1008,1,0,47-65,1
1009,1,0,26-34,2
1010,1,0,35-46,1
1011,2,1,65-79,1
1012,1,1,47-65,2
1013,1,1,35-46,1
1014,1,1,26-34,1
1015,2,1,47-65,1
1016,1,1,47-65,1
1017,1,0,35-46,1
1018,2,1,47-65,1
1019,2,1,65-79,1
1020,2,1,80+,1
1021,1,1,80+,1
1022,2,1,65-79,1
1023,1,1,47-65,2
1024,2,1,65-79,1
1025,2,1,35-46,1
1026,1,0,47-65,2
1027,1,1,65-79,1
1028,1,0,47-65,2
1029,2,1,35-46,1
1030,1,0,47-65,1
1031,1,1,47-65,1
1032,1,1,35-46,2
1033,2,1,35-46,2
1034,2,0,47-65,2
1035,1,0,35-46,2
1036,2,0,65-79,1
1037,1,0,65-79,1
1038,2,1,65-79,1
1039,2,0,80+,1
1040,2,1,35-46,1
1041,1,0,26-34,1
1042,2,1,65-79,1
1043,2,1,65-79,1
1044,2,1,47-65,1
1045,1,1,35-46,1
1046,2,1,47-65,1
1047,2,1,35-46,1
1048,2,1,47-65,1
1049,1,0,26-34,1
1050,1,0,47-65,1
1051,2,1,65-79,1
1052,1,1,35-46,2
1053,2,1,26-34,1
1054,1,1,47-65,1
1055,2,1,47-65,2
1056,2,1,35-46,2
1057,2,1,47-65,1
1058,1,1,47-65,2
1059,2,0,35-46,1
1060,2,0,47-65,2
1061,1,0,65-79,1
1062,2,1,26-34,1
1063,2,0,18-25,1
1064,1,0,35-46,1
1065,1,1,65-79,1
1066,1,1,47-65,1
1067,2,1,35-46,2
1068,1,0,47-65,2
1069,1,1,35-46,1
1070,1,1,47-65,1
1071,2,1,47-65,1
1072,2,0,65-79,2
1073,2,0,65-79,2
1074,2,1,26-34,1
1075,2,0,80+,1
1076,2,1,35-46,1
1077,1,1,47-65,1
1078,2,1,65-79,1
1079,2,0,65-79,1
1080,2,0,80+,2
1081,2,0,47-65,2
1082,1,1,47-65,1
1083,2,1,47-65,1
1084,1,0,65-79,2
1085,1,1,47-65,2
1086,2,1,35-46,2
1087,1,0,47-65,1
1088,1,1,80+,1
1089,2,1,65-79,2
1090,2,1,35-46,2
1091,2,1,47-65,2
1092,2,0,47-65,1
1093,1,0,18-25,2
1094,1,0,26-34,1
1095,1,0,26-34,1
1096,2,0,18-25,1
1097,1,0,47-65,1
1098,1,1,35-46,1
1099,2,1,47-65,1
1100,2,1,26-34,1
1101,2,0,35-46,1
1102,2,1,47-65,1
1103,1,0,35-46,1
1104,2,0,47-65,2
1105,1,0,35-46,2
1106,1,0,35-46,1
1107,2,1,35-46,1
1108,2,1,18-25,2
1109,2,0,26-34,2
1110,2,1,35-46,1
1111,1,0,47-65,1
1112,2,0,47-65,1
1113,2,1,47-65,2
1114,1,0,47-65,1
1115,2,0,47-65,1
1116,2,1,18-25,1
1117,1,1,35-46,1
1118,2,0,65-79,1
1119,2,1,26-34,1
1120,2,0,65-79,1
1121,2,1,35-46,1
1122,2,0,26-34,1
1123,2,1,47-65,1
1124,2,1,18-25,1
1125,2,0,47-65,1
1126,2,0,47-65,2
1127,1,1,26-34,1
1128,2,1,47-65,1
1129,1,0,18-25,1
1130,2,1,35-46,1
1131,2,1,47-65,2
1132,2,1,80+,1
1133,2,1,47-65,1
1134,2,1,26-34,1
1135,1,1,47-65,2
1136,2,1,35-46,2
1137,2,1,80+,1
1138,2,0,47-65,1
1139,1,1,26-34,2
1140,2,0,47-65,2
1141,1,0,35-46,1
1142,2,1,65-79,1
1143,1,0,65-79,1
1144,1,0,80+,2
1145,1,0,47-65,2
1146,1,1,47-65,2
1147,2,0,47-65,1
1148,2,1,47-65,1
1149,2,1,35-46,1
1150,2,1,47-65,1
1151,2,1,47-65,2
1152,2,1,47-65,2
1153,1,0,80+,1
1154,2,0,47-65,1
1155,2,1,80+,1
1156,2,0,35-46,2
1157,2,1,47-65,1
